BridgePosition,TotalCost
181,412413.57255158306
182,412270.02060718514
183,412126.58132897434
184,411983.25499885157
185,411840.0418994362
186,411696.94231406687
187,411553.9565268024
188,411411.0848224233
189,411268.3274864328
190,411125.6848050578
191,410983.15706525015
192,410840.7445546875
193,410698.44756177487
194,410556.26637564506
195,410414.2012861604
196,410272.2525839134
197,410130.4205602278
198,409988.7055071601
199,409847.10771749984
200,409705.6274847714
201,409564.26510323456
202,409423.0208678856
203,409281.89507445856
204,409140.88801942597
205,409000.0
206,408859.2313141334
207,408718.58226052043
208,408578.0531385981
209,408437.6442485468
210,408297.3558912914
211,408157.1883685024
212,408017.1419825965
213,407877.2170367379
214,407737.4138348389
215,407597.732681561
216,407458.17388231604
217,407318.7377432665
218,407179.42457132693
219,407040.2346741647
220,406901.16836020054
221,406762.22593861
222,406623.40771932376
223,406484.7140130289
224,406346.1451311692
225,406207.7013859466
226,406069.3830903217
227,405931.1905580141
228,405793.12410350435
229,405655.1840420335
230,405517.37068960466
231,405379.68436298333
232,405242.12537969847
233,405104.69405804307
234,404967.39071707474
235,404830.21567661676
236,404693.16925725853
237,404556.2517803563
238,404419.4635680338
239,404282.80494318326
240,404146.27622946555
241,404009.87775131105
242,403873.6098339205
243,403737.4728032652
244,403601.46698608785
245,403465.5927099034
246,403329.8503029988
247,403194.2400944347
248,403058.76241404505
249,402923.4175924382
250,402788.20596099703
251,402653.1278518799
252,402518.1835980208
253,402383.3735331299
254,402248.6979916942
255,402114.1573089778
256,401979.75182102236
257,401845.4818646477
258,401711.3477774519
259,401577.3498978121
260,401443.4885648845
261,401309.76411860506
262,401176.1768996895
263,401042.727249634
264,400909.4155107152
265,400776.24202599085
266,400643.20713929983
267,400510.3111952625
268,400377.5545392808
269,400244.9375175391
270,400112.4604770035
271,399980.12376542285
272,399847.9277313284
273,399715.87272403453
274,399583.95909363823
275,399452.18719101977
276,399320.5573678425
277,399189.0699765533
278,399057.7253703824
279,398926.5239033435
280,398795.4659302337
281,398664.5518066338
282,398533.7818889085
283,398403.1565342054
284,398272.6761004565
285,398142.34094637656
286,398012.1514314643
287,397882.1079160017
288,397752.21076105395
289,397622.4603284697
290,397492.85698088026
291,397363.40108170005
292,397234.09299512627
293,397104.93308613834
294,396975.92172049824
295,396847.05926475
296,396718.3460862193
297,396589.7825530133
298,396461.3690340207
299,396333.1058989106
300,396204.99351813307
301,396077.0322629182
302,395949.22250527574
303,395821.56461799506
304,395694.0589746443
305,395566.70594957005
306,395439.5059178972
307,395312.4592555278
308,395185.5663391412
309,395058.8275461929
310,394932.24325491453
311,394805.8138443127
312,394679.53969416895
313,394553.42118503875
314,394427.45869825094
315,394301.6526159069
316,394176.00332088
317,394050.51119681494
318,393925.1766281267
319,393800.0
320,393674.98169838835
321,393550.12211001327
322,393425.4216223635
323,393300.88062369375
324,393176.4995030243
325,393052.2786501397
326,392928.21845558786
327,392804.31931067916
328,392680.5816074854
329,392557.00573883846
330,392433.5920983298
331,392310.3410803088
332,392187.2530798818
333,392064.3284929112
334,391941.56771601376
335,391818.9711465599
336,391696.5391826722
337,391574.27222322393
338,391452.17066783825
339,391330.2349168863
340,391208.4653714864
341,391086.8624335021
342,390965.4265055413
343,390844.15799095435
344,390723.05729383277
345,390602.1248190078
346,390481.3609720486
347,390360.7661592611
348,390240.34078768594
349,390120.08526509703
350,390000.0
351,389880.0854016303
352,389760.34187995165
353,389640.769845654
354,389521.36971015215
355,389402.1418855834
356,389283.0867848063
357,389164.2048213981
358,389045.49640965334
359,388926.96196458186
360,388808.6019019062
361,388690.4166380605
362,388572.4065901876
363,388454.5721761375
364,388336.91381446493
365,388219.4319244275
366,388102.12692598306
367,387984.9992397878
368,387868.0492871939
369,387751.2774902471
370,387634.6842716846
371,387518.2700549325
372,387402.03526410344
373,387285.9803239942
374,387170.105660083
375,387054.4116985274
376,386938.89886616135
377,386823.5675904928
378,386708.41829970083
379,386593.4514226335
380,386478.66738880443
381,386364.0666283907
382,386249.6495722297
383,386135.41665181646
384,386021.36829930067
385,385907.5049474838
386,385793.82702981634
387,385680.3349803947
388,385567.02923395805
389,385453.91022588563
390,385340.9783921933
391,385228.23416953057
392,385115.67799517734
393,385003.3103070409
394,384891.13154365245
395,384779.14214416384
396,384667.34254834434
397,384555.7331965772
398,384444.3145298561
399,384333.08698978205
400,384222.0510185596
401,384111.20705899317
402,384000.5555544839
403,383890.09694902564
404,383779.8316872015
405,383669.7602141801
406,383559.8829757116
407,383450.2004181242
408,383340.7129883203
409,383231.42113377224
410,383122.32530251873
411,383013.425943161
412,382904.7235048583
413,382796.21843732416
414,382687.9111908223
415,382579.80221616244
416,382471.891964696
417,382364.18088831194
418,382256.66943943256
419,382149.3580710092
420,382042.2472365176
421,381935.3373899538
422,381828.62898582924
423,381722.12247916695
424,381615.8183254964
425,381509.71698084904
426,381403.81890175387
427,381298.1245452324
428,381192.63436879416
429,381087.348830432
430,380982.26838861685
431,380877.39350229333
432,380772.72463087447
433,380668.26223423675
434,380564.0067727155
435,380459.95870709914
436,380356.11849862477
437,380252.4866089724
438,380149.06350026035
439,380045.84963503917
440,379942.8454762872
441,379840.05148740474
442,379737.46813220857
443,379635.0958749268
444,379532.93518019316
445,379430.98651304166
446,379329.2503389005
447,379227.727123587
448,379126.4173333016
449,379025.32143462216
450,378924.4398944981
451,378823.7731802446
452,378723.32175953686
453,378623.0861004039
454,378523.0666712227
455,378423.2639407119
456,378323.67837792635
457,378224.31045225007
458,378125.16063339077
459,378026.2293913733
460,377927.5171965333
461,377829.02451951115
462,377730.751831245
463,377632.69960296503
464,377534.8683061863
465,377437.25841270265
466,377339.8703945799
467,377242.7047241492
468,377145.7618740003
469,377049.04231697496
470,376952.54652616
471,376856.27497488016
472,376760.22813669185
473,376664.4064853757
474,376568.81049492967
475,376473.4406395618
476,376378.2973936836
477,376283.3812319022
478,376188.6926290138
479,376094.2320599959
480,376000.0
481,375905.99692434474
482,375812.2233085078
483,375718.679628119
484,375625.3663589522
485,375532.2839769182
486,375439.4329580569
487,375346.8137785297
488,375254.42691461154
